¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
§(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73996
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30009
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92192
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61874
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37882
(352.80, 7.10, 357.23) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 13.3849
(352.80, 7.10, 357.23) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 13.36138
(352.80, 7.10, 357.23) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 14.62114
(352.80, 7.10, 357.23) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.97983
(352.80, 7.10, 357.23) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.94844
(352.80, 7.10, 357.23) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.92104
(352.80, 7.10, 357.23) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.89758
(352.80, 7.10, 357.23) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.87805
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.360223
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.541582
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.736746
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.947408
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.175393
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.422814
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.692279
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98675
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.309808
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.665802
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.059847
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.498335
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.976826
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.507859
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10777
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63444
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21429
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82633
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51154
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26554
(352.80, 7.10, 357.23) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 13.33185
(352.80, 7.10, 357.23) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 13.30848
(352.80, 7.10, 357.23) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 14.16699
(352.80, 7.10, 357.23) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 14.90101
(352.80, 7.10, 357.23) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.56636
(352.80, 7.10, 357.23) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.53996
(352.80, 7.10, 357.23) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.51742
(352.80, 7.10, 357.23) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.49874
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.355817
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.536842
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.731672
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.941907
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.169397
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.416327
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.685218
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.97901
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301291
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656399
¢(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.049439
(352.80, 7.10, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.48676
