¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾ (380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.310954
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.933634
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.659211
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8015
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32204
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.66144
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.3205
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.439
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.408176
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.560724
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.725163
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.902894
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.097651
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.314435
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.551609
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.812125
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.102459
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.436997
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.811746
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.250473
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.767598
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.317687
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.941433
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.668346
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8072
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33459
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.70115
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.32032
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.67535
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.409746
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.562413
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.726985
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.904864
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.100575
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.317628
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.555108
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.815976
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.109419
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.444766
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.820472
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.267733
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.782803
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.324677
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.949529
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.677834
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8126
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34671
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.74008
(380.90, 10.27, 321.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.32196
