¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.598463
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.897336
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.226044
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.596224
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.00513
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.463655
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.998111
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.601367
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.47943
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.58521
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.88465
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.34233
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.24034
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.143784
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.312983
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.49877
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.688412
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.888224
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.103818
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.346436
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.627416
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.92909
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.261019
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.636798
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.049622
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.518482
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057786
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.674422
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.58883
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.71931
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.10567
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.60728
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.74231
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.157258
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.330182
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.517282
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.706236
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.907409
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.124521
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.37421
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.656871
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.961407
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.296665
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.677481
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.094966
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.574347
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.118674
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.751701
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.7006
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.85664
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.29562
İ(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.88264
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.50031
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.172579
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.347638
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.536077
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.724407
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.926969
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.145635
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.40243
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.686834
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.994294
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.334726
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.718913
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.141173
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.631266
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.180801
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.846258
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.8148
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.99727
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.47301
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.16899
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 20.3171
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.189068
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.365352
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.553514
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.742922
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.946907
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.167162
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.431091
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.717303
(330.84, 6.36, 315.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.027753
