¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
–(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3316
(361.09, 6.96, 353.15) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 16.21701
(361.09, 6.96, 353.15) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 16.19058
(361.09, 6.96, 353.15) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 16.84959
(361.09, 6.96, 353.15) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 19.68823
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.85758
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.064025
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.286877
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.528029
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.789815
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074861
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.386421
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.72829
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.104926
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521952
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.986069
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.505611
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.091
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75546
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1735
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68052
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33291
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16226
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34191
(361.09, 6.96, 353.15) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 16.23007
(361.09, 6.96, 353.15) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 16.20361
(361.09, 6.96, 353.15) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 16.79005
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.852718
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.058818
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.281261
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521923
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.78319
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.067654
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378558
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.719568
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095349
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.511332
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.974224
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.49232
(361.09, 6.96, 353.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07599
