¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ê(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.25102
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.24891
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.24957
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.45375
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.28006
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.020257
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253233
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.506334
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784635
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.090517
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.426783
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.798131
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.153746
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.434987
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.738076
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.065602
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.427366
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.836825
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4225
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58095
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01255
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59149
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.65465
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.64124
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.6307
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.62302
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.6182
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.61623
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.61711
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.35132
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.64919
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.014242
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.246777
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.501555
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780566
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.08605
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.421862
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792675
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.128801
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408203
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.709229
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.03448
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.386847
(407.32, 14.35, 246.35) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 9.636487
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3811
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64958
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04483
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57742
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.04434
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.03079
(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.87046
Ö(407.32, 14.35, 246.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.84937
