¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.14152
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.711672
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14944
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63074
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16225
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7556
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52768
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73039
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84569
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81443
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92195
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29568
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.81258
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.04413
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.130648
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.653646
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08584
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56064
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08466
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66573
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42922
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61175
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84449
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8131
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9204
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23965
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73345
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.89365
(435.39, 10.46, 361.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.123156
