¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.50704
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.762681
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.039268
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.340938
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.132386
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.511018
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.92837
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.39069
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.905586
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48235
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13275
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87167
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71832
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65423
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5997
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.474143
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.652151
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.843301
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.049055
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.271153
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.511178
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.765881
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.042747
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.344735
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.675343
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.515944
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.933838
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.396769
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.912369
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48997
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14136
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88145
(377.94, 16.07, 285.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72958
