¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696327
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.316815
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06309
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02089
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41225
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26624
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2112
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.53308
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15212
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.81788
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.79004
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.76689
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.08272
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.8646
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.92992
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.07933
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.2247
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.437707
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.815343
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23509
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.704291
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.334376
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07966
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04926
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44178
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30536
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.33003
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.65705
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.94076
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.9129
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.88976
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.10876
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.89528
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.90586
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.05126
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.19627
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.34781
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443099
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.821349
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.241802
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.717181
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.351052
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.095
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07569
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46822
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3405
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45264
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10851
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.66029
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.78634
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.36785
Ó(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.14504
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.93097
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.88625
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.02774
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.17244
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.32366
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450148
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826999
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248088
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.730847
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.366785
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10906
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10016
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49161
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37154
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.32202
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.72131
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.24317
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.86944
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.98792
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.40986
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.18645
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.97172
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.87064
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.00875
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.18775
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.38606
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.964412
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.325625
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254011
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.743669
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.381651
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12214
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12258
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51188
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.1186
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.35946
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.7453
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.28653
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.23733
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.00859
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.98111
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.54718
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.00715
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.08812
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 23.92181
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.10651
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.29885
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.4991
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.9684
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.322521
”(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.716146
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.321655
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.395531
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13839
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00584
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47455
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.92777
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.3887
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.76991
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.43049
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.37689
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.15405
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.12656
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.74753
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.51002
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.28171
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.06227
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.22124
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.41555
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.61784
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.82935
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.972083
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.326609
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.72207
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.172668
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.680908
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.360182
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17734
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30849
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.94261
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.40965
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.79514
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.56814
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.30599
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.2785
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.95647
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.71533
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.48355
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.26075
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.34157
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.57501
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.84605
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.975457
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.330355
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.727715
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.17902
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.688108
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.373202
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18998
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32454
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.95363
ğ(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.42225
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.821
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.995
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.78108
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.46459
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.4371
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.51117
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.50343
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.5758
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.59471
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.60467
(381.32, 13.93, 262.35) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.87178
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.978526
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.333759
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.732944
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.184904
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.696901
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.385185
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20134
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.33597
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.96079
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.42645
(381.32, 13.93, 262.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.84747
