¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
˜(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878887
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.182096
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514817
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881451
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270265
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.697206
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.172565
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.643912
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12171
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67775
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53111
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96378
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78736
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43153
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.33033
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.429
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.7889
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346125
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.600791
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878157
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.18131
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.513918
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879006
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.263946
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690214
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.164738
(334.04, 7.47, 358.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.661631
