¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
…(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.84854
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.178976
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.542188
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.945744
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.402802
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.911207
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.500422
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17927
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77434
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78626
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01403
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57976
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47002
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.57311
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.81163
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.85077
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.63127
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.55869
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.59849
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.76521
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 22.27742
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.268564
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.540553
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.844637
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.17484
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.537605
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.940638
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.396276
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.903843
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.489766
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.167
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75197
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75977
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98487
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54109
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.40128
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.5344
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.06709
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.96412
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.73705
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.66023
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.69747
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.86266
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 22.36573
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.265843
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.537577
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.840595
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.170595
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.532898
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.935392
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.389596
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.896302
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.478867
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87413
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72918
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73289
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.955
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48588
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33193
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.49478
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.38449
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 22.08338
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.8483
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.767
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.80153
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.96512
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 22.45858
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.26304
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.53451
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.836419
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.166238
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.528071
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.930012
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.382767
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.888595
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.467731
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85996
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70611
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7056
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92443
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43025
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26216
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45421
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4062
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 22.21274
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.96513
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.87909
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 21.91077
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 22.07267
(416.55, 14.69, 245.61) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 22.55606
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.260152
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.531351
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.83211
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161775
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.523124
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.9245
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.375788
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.880719
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.456362
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84702
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68267
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67795
®(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89319
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37421
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19187
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.41282
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.81728
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.78508
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.75703
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.73308
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.71321
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.69743
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.68569
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.678
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.67434
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.25718
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.528101
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.827666
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.157204
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.518057
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.918855
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.368141
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.872678
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11358
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83377
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66685
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6499
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86048
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31773
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12115
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37053
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.59212
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.56173
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.53543
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.51318
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.49498
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.48079
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.47062
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.46444
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.46225
(416.55, 14.69, 245.61) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.46405
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.254128
(416.55, 14.69, 245.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.524761
