¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.180415
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.194904
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.328933
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.607248
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.912575
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.247896
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.619873
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.033748
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.47892
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.980431
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.541748
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18319
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94254
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83273
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83722
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.04724
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.54099
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.32135
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71827
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.61275
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.016014
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245813
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.385849
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.427395
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.610238
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.915861
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.251807
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.624212
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.036439
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.482808
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.984806
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.546782
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18957
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95367
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.84239
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.84437
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.06382
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.56048
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.33675
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.73019
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.61822
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.019094
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.249084
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.498653
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.600399
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.677855
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.919211
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.255792
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.628633
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.039178
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.486848
Ä(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.988725
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.552016
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19715
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96499
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85008
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.85191
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.08075
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.58364
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.35289
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.76604
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.62581
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.022151
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.252408
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.50227
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774327
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.835085
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.952049
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.259848
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.633132
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.042778
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.491035
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.992623
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.557447
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20493
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97651
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85808
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.86158
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.1
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.59973
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.36978
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.80294
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.63556
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.025247
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.255758
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505906
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.778308
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.075929
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.098314
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.263975
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.637711
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.046655
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.49537
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.996794
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.563076
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21289
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98821
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.86639
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.87204
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.1196
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.61607
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.39034
ˆ(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84083
(423.86, 14.77, 252.41) (385.04, 7.87, 249.84) (0.81, 2.16, 0.81) Human 22.91288
(423.86, 14.77, 252.41) (385.04, 7.87, 249.84) (0.81, 2.16, 0.81) Human 22.64288
(423.86, 14.77, 252.41) (385.04, 7.87, 249.84) (0.81, 2.16, 0.81) Human 22.61809
(423.86, 14.77, 252.41) (385.04, 7.87, 249.84) (0.81, 2.16, 0.81) Human 22.59777
(423.86, 14.77, 252.41) (385.04, 7.87, 249.84) (0.81, 2.16, 0.81) Human 22.5819
(423.86, 14.77, 252.41) (385.04, 7.87, 249.84) (0.81, 2.16, 0.81) Human 22.57048
(423.86, 14.77, 252.41) (385.04, 7.87, 249.84) (0.81, 2.16, 0.81) Human 22.68124
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.028411
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.259192
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509645
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.782361
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.08036
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.367821
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.396557
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.64237
(423.86, 14.77, 252.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.050664
