¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(379.16, 15.97, 292.46) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 8.684371
(379.16, 15.97, 292.46) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 9.115928
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1934
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10362
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10655
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08438
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3109
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.24937
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.32912
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.69873
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995862
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.284607
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.599789
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945086
(379.16, 15.97, 292.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.328412
(379.16, 15.97, 292.46) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 8.498158
(379.16, 15.97, 292.46) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 8.283676
(379.16, 15.97, 292.46) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 8.31185
(379.16, 15.97, 292.46) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 8.379429
(379.16, 15.97, 292.46) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 8.449778
(379.16, 15.97, 292.46) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 8.634953
