¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.25616
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.84246
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54497
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39989
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42505
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.718
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49279
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9799
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48212
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.35395
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.285851
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.765324
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.303291
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.89605
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60934
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4755
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51826
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84976
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71169
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.278
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65062
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.318781
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.802359
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.347628
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.949431
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67332
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55067
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6109
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99492
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93278
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54649
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.07729
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.351361
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.839037
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.389162
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00259
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73679
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62536
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72799
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14046
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15602
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81939
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.25761
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.383566
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.875305
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.430279
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05546
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79981
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70369
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8456
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28632
°(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3834
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.17758
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.850261
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.911135
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.470946
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10789
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86224
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78735
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96193
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43899
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62684
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.62844
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.88733
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.946525
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.511118
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15387
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93143
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8706
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06878
(344.26, 7.89, 310.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59982
