¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72062
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92494
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13851
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3619
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59573
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85294
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12558
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41203
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81776
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41374
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36127
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.232458
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478706
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.735501
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.038774
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.372787
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.741664
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.151072
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.596033
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.642691
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19179
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76546
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03623
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32324
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62787
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95176
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28204
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46746
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66111
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86341
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07485
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29602
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52745
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7698
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02382
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29021
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58253
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.311
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.24559
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.231758
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.481827
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.73889
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.040194
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.374352
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.743396
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.153
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.607291
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.6575
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21753
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62474
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88798
Û(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16681
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46256
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77681
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11117
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41244
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60423
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80463
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01407
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23306
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46224
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70221
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95369
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21739
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51634
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21277
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13506
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.231034
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.485009
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.742346
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.04158
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.37588
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.745088
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.154881
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.151703
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.664611
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24053
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4889
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74494
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01601
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30335
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60842
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9328
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27835
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54998
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74857
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95606
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17306
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40011
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63783
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88684
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17128
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48185
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80927
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02951
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230287
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.485192
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.745867
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.042932
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.37737
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.746738
(426.36, 9.95, 362.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.156718
