¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.862506
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2403
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65032
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.5163
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.49131
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.46848
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.52952
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.61667
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.87474
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.67532
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.66688
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.73163
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.84602
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.434764
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.519004
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.57184
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.543436
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.51639
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.490672
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 4.43293
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 4.514635
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904661
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.436567
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.854562
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23172
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.59333
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.46344
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.43858
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.41587
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.48044
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.5667
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.83014
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.66348
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.65504
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.66233
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.77542
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 13.02631
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.307401
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.356798
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.328441
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.301412
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.275679
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.077664
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 4.452569
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 4.631144
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.9044
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.43625
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.847471
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22405
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.53509
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.41313
Õ(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.3884
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.36581
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.43366
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.51908
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.7875
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.66789
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.64568
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.63971
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.70799
(371.17, 7.26, 351.41) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.82438
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.161795
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.133438
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.106382
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.080595
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 4.993567
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 4.49084
(371.17, 7.26, 351.41) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 4.473258
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43063
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904166
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.435979
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.841194
(371.17, 7.26, 351.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21726
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.47987
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.36532
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.34071
(371.17, 7.26, 351.41) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.31822
