¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(435.77, 13.89, 293.10) (443.03, 8.20, 276.69) (0.81, 2.16, 0.81) Human 2.494246
(435.77, 13.89, 293.10) (443.03, 8.20, 276.69) (0.81, 2.16, 0.81) Human 2.483661
(435.77, 13.89, 293.10) (443.03, 8.20, 276.69) (0.81, 2.16, 0.81) Human 2.474171
(435.77, 13.89, 293.10) (443.03, 8.20, 276.69) (0.81, 2.16, 0.81) Human 2.465629
(435.77, 13.89, 293.10) (443.03, 8.20, 276.69) (0.81, 2.16, 0.81) Human 2.457908
(435.77, 13.89, 293.10) (443.03, 8.20, 276.69) (0.81, 2.16, 0.81) Human 2.45092
(435.77, 13.89, 293.10) (443.03, 8.20, 276.69) (0.81, 2.16, 0.81) Human 2.444651
(435.77, 13.89, 293.10) (443.03, 8.20, 276.69) (0.81, 2.16, 0.81) Human 2.449554
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74761
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11464
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45105
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64853
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85494
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07081
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29665
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53313
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.108809
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.342806
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.596762
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87332
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.175538
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507049
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87231
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.281513
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.75632
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.290815
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.797051
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.912439
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0325
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15757
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28778
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42347
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56486
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71225
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86594
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49851
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01741
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37145
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56402
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76521
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97552
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19546
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42569
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66806
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106483
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.340291
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.594014
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.870312
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.172238
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.503453
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.868362
µ(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.27879
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753299
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.287395
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.846347
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.963002
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08449
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21099
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34269
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47997
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.623
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77212
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17949
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9254
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29735
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48522
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68147
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8865
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10088
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32733
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5658
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85637
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.104201
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.337813
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.591343
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.867407
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169024
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.499942
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.864451
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.276125
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.750272
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.283981
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.848334
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0157
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13865
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26662
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39994
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53886
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68361
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87955
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67874
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20725
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41188
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60342
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80348
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01555
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23779
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4704
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73731
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.101974
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.335385
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588706
µ(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.864501
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.165933
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.496502
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860629
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.273455
(435.77, 13.89, 293.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.747291
