¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.773442
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36952
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04533
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81782
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70917
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3716
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03397
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01655
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83757
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97828
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.92401
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.103299
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.285908
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.483178
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.696898
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.929156
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.182414
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.459588
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.764162
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.09235
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.435589
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320054
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.743255
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.2137
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.739595
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33134
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00197
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76809
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65156
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38759
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0516
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76401
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83121
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82458
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.72423
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.091724
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.273429
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.469688
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.682271
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.913246
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.165045
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.440557
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.743219
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.070266
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.411242
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296138
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.716758
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.184153
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.706545
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29408
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95961
è(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71959
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59541
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40533
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07124
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77944
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50509
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.67565
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.53101
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.080294
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.261108
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.456372
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.667834
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.897546
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.147913
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.421788
(371.02, 8.86, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.722572
