¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.838678
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.060401
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.301534
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.563632
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.849405
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.162654
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.508502
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.889331
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.852584
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.351599
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.903663
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51166
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20154
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00403
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96434
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10821
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44506
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91732
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42634
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.83921
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 21.38435
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.71942
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.839382
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.061163
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.302748
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.564623
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.85049
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.163845
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.51019
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.891085
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.855908
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.355333
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.905832
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51414
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20434
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01028
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97161
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06061
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38146
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83933
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.33301
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.73984
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 21.36077
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.68789
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.840133
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.06212
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.303808
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.565678
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.851644
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.165112
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.511859
€(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.892934
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.316448
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.359165
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.908255
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51687
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20749
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01674
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97917
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05192
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31881
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7629
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24235
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.64527
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 21.33859
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.65825
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.840936
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.063334
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.304835
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.566798
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.852868
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.166632
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.513615
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.894881
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.318615
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.363134
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.910906
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51985
(423.45, 14.88, 246.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21087
