¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22864
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01669
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78928
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02351
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46213
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.231
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52476
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22883
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.056932
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.306293
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.577734
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.87493
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.201722
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.571245
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.971254
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.417484
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.931799
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.513953
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18939
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97102
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88788
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96023
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38366
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13425
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.38535
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.09576
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.043529
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.291693
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.561746
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.857387
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.183233
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.550503
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.948178
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.391622
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.902836
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.47983
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15028
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92553
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83431
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88558
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30176
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03794
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.23645
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.96699
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.030156
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.277127
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.545805
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.8399
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.164834
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.529842
(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.925197
Å(441.31, 14.94, 256.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.365875
