¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‰ (401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.552464
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.546001
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.540825
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.53693
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.534313
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.53297
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.532902
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.265141
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.266752
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.25333
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481455
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.728217
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995957
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.94153
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.913728
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.887485
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.862772
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.839566
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.817841
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.797573
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.778744
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.761333
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.745323
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.730698
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.717443
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.705545
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.694993
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.685772
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.677879
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.671304
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.66604
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.66208
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.659424
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.658068
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.65801
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.179879
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.181486
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245406
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472904
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718955
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985893
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.276351
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.049863
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.023116
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.99793
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.974277
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.952137
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.931485
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.912297
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.894555
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.878243
‰ (401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.863342
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.849838
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.837717
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.826969
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.817579
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.809543
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.80285
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.797493
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.793468
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.790772
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.7894
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.789352
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.097929
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.099531
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.237574
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.464459
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.709824
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.975955
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265561
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.192896
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.16562
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.139937
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.115821
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.093244
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.072186
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.052621
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.034534
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.017903
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.002712
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.988947
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.976593
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.965639
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.956072
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.947886
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.941067
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.935616
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.931521
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.928784
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.927397
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.927361
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.019173
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.020768
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.229847
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456154
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700818
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.966164
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.254898
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570116
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.315477
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.289273
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.264666
ˆ (401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.241633
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.220147
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.200189
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.181737
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.164773
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.149278
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.135239
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.122641
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.11147
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.101718
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.093373
