¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810115
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.340281
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.940359
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5312
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29252
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23438
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29628
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52014
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96049
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.6922
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.66614
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.6434
(341.20, 7.39, 372.80) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 16.62396
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.6078
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.5949
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.58525
(341.20, 7.39, 372.80) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 16.57884
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.57567
(341.20, 7.39, 372.80) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 16.52479
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.392241
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.645917
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.921958
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.223812
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.567363
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.946814
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.355743
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.807255
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.333822
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.933009
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50832
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25937
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23016
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29369
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51381
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95675
(341.20, 7.39, 372.80) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 16.58872
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.56281
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.54021
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.52087
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.5048
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.49197
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.48237
(341.20, 7.39, 372.80) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 16.476
(341.20, 7.39, 372.80) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 16.47284
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.42226
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393609
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.647405
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.923587
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.225173
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566514
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945899
³(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.354171
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.805546
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.327304
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.925603
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49805
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22634
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18618
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29099
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49689
(341.20, 7.39, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94551
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.48972
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.46395
(341.20, 7.39, 372.80) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 16.44147
(341.20, 7.39, 372.80) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.42224
