¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.898936
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.63909
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48721
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43102
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.4689
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.51527
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.71039
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.92088
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.16503
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.44336
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.77007
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.09755
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.40869
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.70542
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.685583
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.233979
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.867908
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.604
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.44381
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.4082
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.4615
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.65116
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.8509
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.08838
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.36352
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.68607
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.01231
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.31608
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.61285
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.66466
