¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
•!(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.482094
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.094427
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.820215
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.67936
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81244
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03032
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.097019
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.223854
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.359672
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.505421
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.662193
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.831244
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.014031
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.212249
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.427666
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.662786
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.92277
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.211106
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.535794
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.912729
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.386107
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.916268
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.468876
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.087362
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.816364
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.6748
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83807
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02312
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36813
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.105679
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.233107
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.369576
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.516049
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.673624
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.84357
(382.73, 10.77, 322.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.02736
