¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54138
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69122
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07644
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84621
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26207
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33241
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97424
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.5071
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.16706
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.123188
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.39109
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.697649
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.036541
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.398447
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.832623
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.323271
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.840283
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.429335
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09274
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83718
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56232
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71626
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10688
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90096
(334.43, 7.46, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35128
