¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.14964
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.13521
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.15315
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.14341
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13604
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13105
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.12843
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.12817
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13028
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.719168
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.94182
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.183769
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.447591
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.736283
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.053486
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403555
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.791752
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.224661
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.710245
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.258731
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.882977
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59968
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43089
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.24598
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.21934
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.19519
