¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.92125
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.47034
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.35501
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.47216
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.31909
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.15443
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.12552
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.10248
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.09026
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.08388
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.08102
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.0817
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.02535
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.15781
(336.09, 7.39, 349.60) (334.48, 1.88, 314.02) (8.15, 3.11, 2.82) Truck 18.29583
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.978531
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.298378
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.652399
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.047189
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.480976
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.972511
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.521522
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1511
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85398
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64582
