¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92147
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.01596
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.24643
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.28879
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.57031
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.5534
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.39816
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.36877
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.35996
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.35377
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.35019
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.34921
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.35083
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.35505
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.36189
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.37134
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181456
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486017
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830383
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.209604
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.629207
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.035641
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.446791
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.89915
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46602
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2804
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4449
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65375
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88466
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.94055
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.53333
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.51111
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.49159
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.47475
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.32037
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.29112
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.28234
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.27615
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.27255
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.27154
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.27312
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.27729
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.28406
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.29342
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198895
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515467
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862769
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.245373
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.668913
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.082891
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.498642
÷(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.956317
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46249
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19872
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4034
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65161
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.85756
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.83133
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.8077
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.78664
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.76814
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.75217
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.24604
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.23467
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.22589
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.2197
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.21609
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.21506
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.2166
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.22072
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.22742
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.23671
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.225893
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545033
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.895249
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.281299
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708807
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.130808
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.551272
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01439
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52682
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14345
(413.82, 14.20, 246.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36062
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.81759
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.78886
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.76274
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.7392
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.71823
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.6998
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.68389
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 12.67049
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.16375
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.15499
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.1488
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.14518
(413.82, 14.20, 246.62) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.14412
