¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.624506
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26182
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97173
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76312
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65174
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6531
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82976
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14487
(410.14, 14.33, 244.61) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.75057
(410.14, 14.33, 244.61) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.72532
(410.14, 14.33, 244.61) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.70514
(410.14, 14.33, 244.61) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 17.01062
(410.14, 14.33, 244.61) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 16.98947
(410.14, 14.33, 244.61) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 7.520687
(410.14, 14.33, 244.61) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 7.516054
(410.14, 14.33, 244.61) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 7.512889
(410.14, 14.33, 244.61) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 7.51119
(410.14, 14.33, 244.61) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 7.510955
(410.14, 14.33, 244.61) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 7.512187
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.874629
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.10996
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.366223
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.646099
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.950946
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.287706
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.16865
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.595653
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.071629
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.629989
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26807
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98367
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77685
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67319
(410.14, 14.33, 244.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67815
