¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47761
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20355
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02207
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15108
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33915
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78296
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.385482
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.561893
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.751412
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.955503
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.170669
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.388678
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.027778
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.304502
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.605419
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905037
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.228004
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.571764
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.943177
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.350163
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.797932
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23507
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69559
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20177
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76067
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38557
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10041
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89568
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00393
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14956
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97748
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.371206
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.546592
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.734973
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.937799
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.149524
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.365921
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.599441
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.275368
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.572721
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.866943
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.18664
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.533764
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.901729
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.30474
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747941
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17394
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62873
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12832
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67959
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29649
Ó(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98996
(353.54, 9.36, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76394
