¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„ (401.76, 14.15, 245.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.524087
(401.76, 14.15, 245.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.792851
(401.76, 14.15, 245.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.086114
(401.76, 14.15, 245.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.407372
(401.76, 14.15, 245.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.737001
(401.76, 14.15, 245.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.069295
(401.76, 14.15, 245.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433136
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.325812
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.298761
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.273494
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.249983
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.228205
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.208138
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.189759
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.173055
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.158005
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.144594
(401.76, 14.15, 245.94) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.132812
(401.76, 14.15, 245.94) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.622252
(401.76, 14.15, 245.94) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.612108
(401.76, 14.15, 245.94) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.603856
(401.76, 14.15, 245.94) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.597489
(401.76, 14.15, 245.94) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.592999
(401.76, 14.15, 245.94) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.590381
