¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ç(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.623753
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860825
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.961395
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.828129
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.778772
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.755095
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.733065
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.751613
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.806035
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.862768
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.022124
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70757
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.31702
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.37151
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.02543
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.34958
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.3234
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.31677
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.31216
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.30956
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.30898
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.3104
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.959708
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189484
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.438963
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710793
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007999
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334243
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.623457
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90504
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.936199
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.80369
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.758375
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.734764
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.712795
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.733334
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.787455
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.843881
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.006204
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71472
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.31345
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.3865
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.37248
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.36385
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.35391
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.32973
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.32511
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.32251
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.32192
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.32334
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.958615
Â(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.188305
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.437706
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.709414
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.00645
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332538
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.623704
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970201
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.913048
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.78123
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.739593
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.716043
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.694131
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.716478
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.770326
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.826466
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.991472
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71342
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.30615
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.54498
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.38933
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.38037
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.37042
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.34474
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.34012
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.33751
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.33692
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.33834
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.957573
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.187164
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.436453
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.70803
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.004983
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330947
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.626519
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.036464
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.462043
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.640526
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.692425
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.746666
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.744584
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.72152
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.681278
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.559198
(368.78, 7.30, 351.08) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.977922
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.79779
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.77612
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.75797
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.09155
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.12225
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.15529
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.78876
«(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.35719
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.35457
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.35398
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.3554
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.956553
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.186065
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.435256
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706733
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.003543
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.32936
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686946
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.08635
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.529355
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.025569
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.51471
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.861575
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23676
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64378
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08818
(368.78, 7.30, 351.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94127
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.84486
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.85466
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.87712
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.53869
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.52572
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.51484
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.50603
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.95227
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.37634
(368.78, 7.30, 351.08) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.37372
