¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.669062
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.670265
(440.55, 14.06, 275.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.096445
(440.55, 14.06, 275.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.325243
(440.55, 14.06, 275.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.57226
(440.55, 14.06, 275.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.840748
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.870657
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.841658
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.814227
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.788332
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.763947
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.741047
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.719605
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.699603
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.681017
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.66383
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.648025
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.633584
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.620492
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.60874
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.598312
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.5892
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.581395
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.574887
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.569673
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.565745
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.563101
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.561739
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.561655
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.562851
(440.55, 14.06, 275.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.098356
(440.55, 14.06, 275.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.328979
(440.55, 14.06, 275.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.57631
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.792895
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.762791
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.734261
(440.55, 14.06, 275.11) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 6.707273
