¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‹(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08913
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04971
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55424
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01676
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.803258
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.945584
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.094054
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.342944
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.760912
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.953246
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.160111
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383157
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.62428
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885748
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.170176
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.480618
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.852007
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270551
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.781734
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.394974
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10163
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07638
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58911
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3802
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.802134
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.941877
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.091109
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.251161
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.422692
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.953535
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.160437
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383515
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.624653
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.886165
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.170592
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.48108
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850636
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.276493
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.788486
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.40152
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11481
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1035
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62404
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75323
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.801219
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.938936
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.088416
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.248281
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.419608
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.603627
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.161135
‡(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.384209
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.62545
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.887002
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.171529
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.4821
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.849777
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.282897
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.795716
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.408623
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12621
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13108
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65901
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13604
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.800514
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.936644
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.085971
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.245668
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.416811
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.600624
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.799937
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.385339
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.62666
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.888346
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.172961
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.483652
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.849405
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289824
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.803539
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.416236
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13504
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15913
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72249
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55879
(429.32, 10.59, 357.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.800017
