¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.105662
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.217551
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.337882
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.466177
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.603218
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.747963
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.888544
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.038716
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.199453
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.371865
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.557223
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.758489
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978318
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.225487
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.522495
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.850667
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.240373
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.824696
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591898
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.685788
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18591
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.63214
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.87082
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.902394
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.999728
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.102861
(358.46, 9.27, 319.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.215245
