¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72213
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11408
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80148
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00889
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.58533
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25554
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.60298
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59076
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.07363
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.56184
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.456979
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.747705
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.067968
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.934423
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.354114
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.822517
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.37799
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04906
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85151
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70142
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72576
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.053
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80064
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12188
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.64733
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31425
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89388
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85022
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.32381
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84871
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.460828
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752358
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.073099
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.427347
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.360893
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.830083
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.36701
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03237
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83201
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68925
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72853
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99091
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79975
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23852
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77155
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35704
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32935
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.09769
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.24269
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.464847
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.756866
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.078068
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.432853
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.367417
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.83744
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.365284
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01511
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81179
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67662
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73056
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96204
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79882
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35887
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.89974
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67695
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78713
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35464
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.468737
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.761228
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.082878
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.438179
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.83262
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.844543
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.37329
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.997233
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79091
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66351
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73059
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96346
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79788
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48298
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03207
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.12352
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13676
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472569
(436.67, 13.99, 296.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.765442
