¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.70221
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.8175
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93919
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.0667
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.19997
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.33911
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.48428
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.267363
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.709553
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.203642
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.714621
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1945
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93817
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70437
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59436
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47853
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46118
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62357
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.11204
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.79269
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52924
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82074
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.89944
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98289
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.07189
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1657
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26434
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36793
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4766
(340.08, 7.12, 310.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.59044
