¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33715
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31464
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.44492
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75902
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30325
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.10711
(432.99, 14.53, 314.62) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 19.96263
(432.99, 14.53, 314.62) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 19.93719
(432.99, 14.53, 314.62) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 19.91569
(432.99, 14.53, 314.62) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 19.91625
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.662191
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.874677
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.102769
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35058
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.62071
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.9158
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.234689
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.585457
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.973606
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.405346
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.88835
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.432199
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04903
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46021
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.328
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30108
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42892
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75298
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.29106
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09225
(432.99, 14.53, 314.62) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 19.96866
(432.99, 14.53, 314.62) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 19.94321
(432.99, 14.53, 314.62) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 19.9217
(432.99, 14.53, 314.62) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 19.90412
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.660907
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.873123
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.101087
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.348748
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.618711
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91298
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.23154
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.581984
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.969754
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.401052
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.883533
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.42676
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04284
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74731
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31919
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28806
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41356
µ(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74774
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28001
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.07875
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30016
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.82663
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.659681
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.871644
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.099482
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.347003
(432.99, 14.53, 314.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616806
