¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494761
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.777158
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07838
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.402565
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759435
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.15413
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.592906
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.08347
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.620348
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05234
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54909
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09098
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67204
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42134
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91036
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44215
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61576
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.34952
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.49378
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776074
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.077741
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401858
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75867
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.153276
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.591953
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.082392
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.624151
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06227
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56005
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10345
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68591
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28456
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77813
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29859
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.69763
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4375
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492702
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774889
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07704
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401108
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75783
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.152357
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.590937
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.081236
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.628443
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07267
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57152
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11656
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70049
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19074
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64998
¼(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15957
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96053
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.52918
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491545
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.773621
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.076326
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.400307
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.756928
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151385
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.589842
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.080009
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.631504
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08352
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58351
(441.43, 14.09, 276.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13037
