¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Õ(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4284
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11646
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88181
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77532
(425.90, 14.89, 247.71) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 13.40488
(425.90, 14.89, 247.71) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 13.40136
(425.90, 14.89, 247.71) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 13.40045
(425.90, 14.89, 247.71) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 13.40215
(425.90, 14.89, 247.71) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 13.40647
(425.90, 14.89, 247.71) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 13.41341
(425.90, 14.89, 247.71) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 13.42297
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.23506
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.4898
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.81705
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.67033
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.66122
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.65614
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.65509
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.060643
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.297792
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.555587
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.279033
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603167
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.959109
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.351741
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.786946
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.271883
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.815498
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.429
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11399
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87897
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76388
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64887
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 13.76452
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 13.76748
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 13.77313
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 13.78147
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 13.79251
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 13.80626
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.30778
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.2869
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.32265
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.8785
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.86927
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.06237
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.299665
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.557626
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.279354
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603517
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.959506
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.35219
Ñ(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.787424
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.272423
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.816114
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4297
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11172
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87636
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75673
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68684
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.10232
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.10607
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.11258
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.12185
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.13389
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.14871
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.38502
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.36404
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.34706
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.95783
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.94854
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 21.54956
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 21.54691
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.06412
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.301565
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.559693
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.839986
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603923
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.959955
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.35391
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.789408
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.273034
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.816797
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43048
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10964
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87398
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76447
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72558
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.45996
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.46459
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.47205
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.48234
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.49547
(425.90, 14.89, 247.71) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.51146
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.46687
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.44577
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 20.42869
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 21.04189
(425.90, 14.89, 247.71) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 21.03253
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.06589
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.303486
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.561786
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.841972
»(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604378
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.96046
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.359723
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793842
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.273713
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.817548
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43134
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10772
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87179
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77111
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76508
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8354
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28619
(425.90, 14.89, 247.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.64636
