¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
´(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.697118
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.846237
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.002
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16477
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33497
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51305
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78418
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08651
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44205
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89629
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39058
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.368354
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592327
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.822397
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.068468
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.332193
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615479
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.852667
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.998394
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.15083
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.310359
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.465418
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.60384
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.748298
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.899136
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0567
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2214
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39364
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5838
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87284
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18038
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51358
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97369
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47463
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372888
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.613208
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844653
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.092247
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.357672
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.642838
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.873764
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.020283
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.17354
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.33396
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.501972
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.655339
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.801521
(438.57, 14.82, 254.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.954162
