¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ!(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.840712
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.837132
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.836406
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.838592
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.843828
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.088013
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.221334
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.364524
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.51868
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.685072
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.86517
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.060696
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.273665
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.516188
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.773282
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.05675
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.370801
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.720579
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.112464
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.520663
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.89603
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.372588
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.930693
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43906
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 10.03164
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.873038
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.817049
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.801046
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.788791
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.778984
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.771685
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.76688
