¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ï(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.82044
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38377
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.00614
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.69718
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46877
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94316
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96276
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12545
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.46333
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.94806
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.66637
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.05755
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76661
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.046753
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.347272
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.670444
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.807168
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.997117
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39148
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81824
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28381
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.79366
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35429
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.97353
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.66093
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.42822
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89571
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90894
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.06389
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39228
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.87009
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.39579
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.05677
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753216
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.032448
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.331944
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.653929
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.775569
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.976279
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36857
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79566
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26001
(365.15, 10.07, 324.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76758
