¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89036
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78906
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81062
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94892
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31847
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55471
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64415
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.5021
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.58513
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.35431
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.63082
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.18758
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.19326
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.20305
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.22341
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.25054
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.367866
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.631811
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.916721
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.226512
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.567349
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.944562
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.350757
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.804245
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.309331
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.87528
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13207
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86835
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76424
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77715
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91937
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27157
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54552
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.5332
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38108
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.10207
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.34644
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.3561
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.20024
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.2059
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.21805
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.23807
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.26388
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.362271
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.625712
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.909163
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.218412
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.558429
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.934328
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.339403
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.792387
¤(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.29562
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.858553
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11042
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84701
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73949
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74405
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88044
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22518
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53768
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.42594
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.31629
(410.89, 14.09, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89839
(410.89, 14.09, 246.27) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 23.35088
