¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.47621
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.44293
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.41354
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.38802
(378.97, 15.97, 287.80) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 20.75615
(378.97, 15.97, 287.80) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 20.737
(378.97, 15.97, 287.80) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 20.72192
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.996163
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.218446
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.460158
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.723555
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.005626
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.313888
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.653456
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.022811
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.430857
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.878068
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.352553
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46101
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09174
