¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
÷(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63704
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10615
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.604111
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.012024
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.467926
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.9807
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36266
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17845
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18898
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45867
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23709
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95479
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.61076
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.640062
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.052147
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.512973
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.031614
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41376
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23815
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28426
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58178
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41393
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27693
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.675915
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.09218
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.557946
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.09624
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.714379
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31253
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37918
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70731
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59128
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.60319
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.711657
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.132113
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.619561
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.171182
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.800273
