¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.871139
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.848326
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.882126
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.862463
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.84442
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.181768
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.16625
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.391503
(415.27, 14.33, 246.98) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 16.82869
(415.27, 14.33, 246.98) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 18.73982
(415.27, 14.33, 246.98) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 18.72354
(415.27, 14.33, 246.98) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 18.70827
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.853676
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.065711
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.294952
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543525
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.813949
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.109111
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.431726
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.791839
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.000569
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.969146
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.939512
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.911633
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.885482
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.86103
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.838253
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.872016
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.852384
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.834372
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.171293
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.155801
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.513149
