¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
”(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.718712
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.931247
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.16147
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.411563
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.684198
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982439
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.31004
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.671505
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.052601
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.424594
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.834427
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.288081
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.792858
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25698
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77674
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40132
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10531
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63626
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.22339
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45718
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.3618
(338.62, 7.56, 336.76) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.51404
(338.62, 7.56, 336.76) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.47831
(338.62, 7.56, 336.76) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.44705
(338.62, 7.56, 336.76) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 23.91621
(338.62, 7.56, 336.76) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 23.91905
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.332082
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.514276
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.710495
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.922359
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.151804
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.401052
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.672734
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.969913
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296257
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65623
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.021341
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.390305
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.796635
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.246206
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.746211
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24073
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77283
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39692
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10032
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19204
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14503
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35719
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22969
(338.62, 7.56, 336.76) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.35721
(338.62, 7.56, 336.76) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.34674
—(338.62, 7.56, 336.76) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.34063
(338.62, 7.56, 336.76) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 24.14476
(338.62, 7.56, 336.76) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 24.11412
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.325138
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.506766
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.702419
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.913633
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.142386
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.390819
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.66156
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.957653
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282765
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.641359
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.990852
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.356839
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759769
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.205389
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.700764
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22553
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76995
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39368
