¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.984579
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.225882
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.525469
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.936364
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.421098
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.890759
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.480785
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02312
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62414
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62064
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.0107
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.26563
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27779
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.86582
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.8448
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.639559
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.825706
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.025777
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241338
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.489479
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.738249
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.961117
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.200683
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.492597
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.889599
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.388625
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.842711
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.449707
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.984433
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59543
(327.45, 7.25, 328.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53723
