¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.921348
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0665
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.7875
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.62302
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.77259
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.933157
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.129298
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.341835
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.558171
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.797754
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.104577
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.411622
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.786671
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.269657
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.896809
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.663673
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.925447
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0707
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.80776
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.628555
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.778519
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.939521
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.135204
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.347872
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.564734
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.80383
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.110598
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.418287
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792701
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.276326
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.901118
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.667437
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.928133
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07132
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.81622
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.634251
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.784621
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.946072
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.14119
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.354074
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.571478
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809938
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.116765
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.425114
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.798619
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.282898
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.905177
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.670064
(430.08, 10.80, 353.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.929399
