¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ö(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79829
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19847
(411.59, 14.50, 245.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.54363
(411.59, 14.50, 245.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 19.30235
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.580101
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844771
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.138223
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.464084
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.822735
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.219253
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.659916
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.067505
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.439277
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860091
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32666
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8307
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30296
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82737
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40534
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05844
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59308
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97882
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39001
(411.59, 14.50, 245.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.67213
(411.59, 14.50, 245.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 19.13557
(411.59, 14.50, 245.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 19.1908
(411.59, 14.50, 245.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 19.2501
(411.59, 14.50, 245.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 19.31356
(411.59, 14.50, 245.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 19.38122
(411.59, 14.50, 245.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 19.4225
(411.59, 14.50, 245.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 19.44528
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581277
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.846069
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.139117
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.46508
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.823852
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.220469
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.661284
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.084348
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.475443
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.903682
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3746
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87958
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35197
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8812
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4647
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12542
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76998
(411.59, 14.50, 245.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16629
