¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734009
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.054393
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.411003
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.807189
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.235411
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.714176
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.253958
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.867299
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3023
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20369
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2276
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45118
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81841
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47706
(399.31, 14.17, 244.30) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.56808
(399.31, 14.17, 244.30) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.20433
(399.31, 14.17, 244.30) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.19416
(399.31, 14.17, 244.30) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.10753
(399.31, 14.17, 244.30) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.06105
(399.31, 14.17, 244.30) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.05863
(399.31, 14.17, 244.30) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.05876
(399.31, 14.17, 244.30) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.06143
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.294143
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.48711
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.69584
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.921494
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.166799
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.434614
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.723003
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.042981
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.398366
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.791265
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.216761
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.693237
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.230834
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.840569
(399.31, 14.17, 244.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26656
