¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.677306
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.805899
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.941635
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085121
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.236939
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.397788
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5685
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.779657
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 6.182437
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 6.093158
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 6.04944
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 6.029941
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 6.014829
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 6.000968
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.988347
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.976967
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.966779
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.957798
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.950024
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.943432
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.938025
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.933793
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.930717
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.928823
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.928086
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.928524
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.447013
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.563159
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.685543
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.814549
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.950757
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.094707
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.247065
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.408455
(399.02, 14.73, 310.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.579793
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 6.301341
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 6.121039
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 6.049045
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 6.010947
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.992966
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.978415
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.965084
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.952993
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.94211
(399.02, 14.73, 310.19) (382.08, 9.00, 299.08) (0.81, 2.16, 0.81) Human 5.932427
