¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.966269
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.550714
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14621
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78168
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46719
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27588
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91207
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74447
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.94301
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76315
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.933776
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.158999
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.403349
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.669183
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.959508
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.27773
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.628042
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.024283
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.47298
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.991328
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.579244
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16799
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80638
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43322
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27977
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90869
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76136
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.96025
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.78565
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.936676
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.166588
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.411552
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678147
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.969331
(347.82, 7.20, 368.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.288488
