¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.64671
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.59196
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.5403
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.49164
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.44594
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.40315
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.36324
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.481266
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.922839
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.390428
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.740948
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08525
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41435
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76784
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79823
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.27965
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.23854
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.20281
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.17259
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.14506
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.1202
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.09798
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.07837
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.06138
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.04696
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.03512
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.02583
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.01909
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.476382
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.91741
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.403292
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.769547
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15172
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56715
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02028
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06321
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.08725
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.05193
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 13.01934
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 12.98942
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 12.96217
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 12.93756
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 12.91558
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 12.89872
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 12.88442
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 12.87265
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 12.86342
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 12.8567
(443.57, 14.02, 269.40) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 12.85249
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471073
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.91151
ì(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.396464
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.798594
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1832
(443.57, 14.02, 269.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60141
