¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡ (412.67, 14.27, 249.68) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 15.65076
(412.67, 14.27, 249.68) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 15.63464
(412.67, 14.27, 249.68) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 17.54363
(412.67, 14.27, 249.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.333522
(412.67, 14.27, 249.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.515656
(412.67, 14.27, 249.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.711798
(412.67, 14.27, 249.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.923636
(412.67, 14.27, 249.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.151191
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.909246
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.880267
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.852705
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.826531
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.801716
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.778234
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.756058
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.735165
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.715535
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.697144
(412.67, 14.27, 249.68) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 5.951692
