¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161901
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.472753
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.807821
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.17864
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.594758
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.054094
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.593655
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1977
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54186
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32173
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22893
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32424
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62668
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19812
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.99889
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.32434
(415.97, 12.88, 329.60) (398.16, 8.73, 303.92) (0.81, 2.16, 0.81) Human 21.35805
(415.97, 12.88, 329.60) (398.16, 8.73, 303.92) (0.81, 2.16, 0.81) Human 21.31495
(415.97, 12.88, 329.60) (398.16, 8.73, 303.92) (0.81, 2.16, 0.81) Human 21.31107
(415.97, 12.88, 329.60) (398.16, 8.73, 303.92) (0.81, 2.16, 0.81) Human 21.31661
(415.97, 12.88, 329.60) (398.16, 8.73, 303.92) (0.81, 2.16, 0.81) Human 21.33279
(415.97, 12.88, 329.60) (398.16, 8.73, 303.92) (0.81, 2.16, 0.81) Human 21.36204
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.848563
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.130733
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.438666
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.769919
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.135198
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.546597
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.996628
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.528922
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12054
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79464
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60264
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10263
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17589
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47157
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0189
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78441
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.47915
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.820161
(415.97, 12.88, 329.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.099794
