¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
´(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.111
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21462
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.305919
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.400908
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.499701
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.602518
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.709463
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.820755
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.936641
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05722
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18281
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42048
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68762
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.452305
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.622789
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.805415
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.001538
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.21265
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.443963
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68689
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954409
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.245655
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563956
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.878798
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.131288
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.402197
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.69355
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.942936
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.03953
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.152873
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.276326
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375087
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.473333
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.575553
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.68187
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.792528
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.907694
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02759
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15241
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34498
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60824
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.443216
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.613085
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.795033
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.990388
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.200613
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.428984
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.672881
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939182
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.229115
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545848
º(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.870729
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122709
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.392986
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.68366
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.881502
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.976631
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.076921
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.198212
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.324632
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.448816
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.550463
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.656237
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.766273
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.880815
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00004
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12416
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27259
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53217
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.434373
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.603618
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.784907
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.979544
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.188961
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.414868
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.659261
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.924382
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.212978
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.528213
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.863495
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114935
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.384693
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.674745
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.822417
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.916157
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.01367
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.122936
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.247187
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.376696
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.511749
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.632491
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.742002
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.855937
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.974566
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09804
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22668
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45931
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.425749
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.594404
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.775051
(434.39, 10.46, 361.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.968945
