¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
³(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.578646
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.57697
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.342361
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.518602
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.708031
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.912126
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.13262
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.377411
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.646129
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939962
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.261629
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.596869
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.966231
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.375001
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.829864
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.329447
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.609356
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.585027
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.562679
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.542292
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.523844
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.507317
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.492693
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.479962
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.469109
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.46012
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.452991
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.447714
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.444281
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.442692
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.341587
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.517763
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.707136
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.911154
