¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ù(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.943947
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.279446
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.70507
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.121482
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.599519
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.120154
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.702636
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37846
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.15071
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0653
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14552
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.4739
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.06592
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.14871
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.17649
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.19477
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.16616
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.14174
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.12149
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.10539
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.09342
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.08558
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.08185
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.08223
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.849998
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.08024
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.333121
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616142
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.933011
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.267376
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.688095
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.102553
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.577402
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.096064
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.675587
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34767
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11592
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.02425
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.09529
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.41104
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.98757
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.03856
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.01591
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.08715
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.05871
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.03445
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.01433
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.99834
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.98647
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.97869
(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.97501
Á(346.67, 7.02, 363.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.97541
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.843092
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.072953
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.325179
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.606981
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.922116
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.255359
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.671202
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.083724
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.555408
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.072205
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.648705
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31708
(346.67, 7.02, 363.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08137
