¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.076665
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.406524
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.718076
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.058626
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.432323
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.840642
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.22446
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.658353
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13765
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66923
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88574
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00692
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39762
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15474
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.3688
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.24405
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021771
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.246996
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491021
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756256
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058454
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41452
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726773
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06814
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.442797
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.851488
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.236302
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.667167
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1474
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68004
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86251
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97944
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.36141
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10972
(384.17, 13.89, 257.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31133
