¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
§(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523817
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901199
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.306696
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.756223
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.259098
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.825292
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49654
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28063
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20962
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29763
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27228
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05515
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1323
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.49509
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.29349
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.26874
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.24723
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.23085
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.21862
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.21054
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.2315
(336.49, 7.22, 384.15) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 21.18527
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.334435
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595012
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.879385
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.190837
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533316
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911701
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.319169
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.770133
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.274725
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.842944
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52243
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31063
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24388
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36244
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34185
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1327
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07394
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.57768
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.30241
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.27764
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.25708
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.24068
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.22845
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.22038
(336.49, 7.22, 384.15) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 21.24039
(336.49, 7.22, 384.15) (324.28, 2.56, 347.26) (2.10, 0.13, 2.78) Cabin 21.19414
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.341021
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.602192
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.887215
¢(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.199399
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.542806
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.92222
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.331686
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.784129
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.290387
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860655
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54832
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34064
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27801
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42776
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41325
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21237
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0387
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66188
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.31548
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.2907
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.27013
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.25373
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.24149
(336.49, 7.22, 384.15) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 21.23341
(336.49, 7.22, 384.15) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 21.25344
(336.49, 7.22, 384.15) (324.28, 2.56, 347.26) (2.10, 0.13, 2.78) Cabin 21.20716
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.347589
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.60935
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.895032
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.207993
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552282
(336.49, 7.22, 384.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.932678
