¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.18019
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.984768
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230456
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495564
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792031
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.113244
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.47369
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.874815
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.323073
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.827307
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.394217
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04412
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79422
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67158
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.69718
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.84355
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.18969
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.81879
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.71036
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.12393
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.22644
(432.42, 15.04, 250.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.983917
