¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.362883
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759393
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.197984
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.707657
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27929
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91451
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60783
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35683
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98908
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73549
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.56534
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.756056
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.955451
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.168004
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.397585
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051996
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333924
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640867
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.986999
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.353955
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.749577
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.186373
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.691381
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26098
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89919
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5905
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36176
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99892
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70327
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.567825
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.754599
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.95164
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.163898
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.393148
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.04902
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330692
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637337
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.980463
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.34547
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.740188
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.176041
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.675613
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24324
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88392
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57399
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34187
(377.10, 16.09, 285.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01028
