¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.969746
(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.432029
(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.890947
(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35919
(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89712
(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05416
(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01698
(386.08, 7.13, 357.23) (365.93, 1.26, 362.13) (0.81, 2.16, 0.81) Human 11.14052
(386.08, 7.13, 357.23) (365.93, 1.26, 362.13) (0.81, 2.16, 0.81) Human 11.09812
(386.08, 7.13, 357.23) (365.93, 1.26, 362.13) (0.81, 2.16, 0.81) Human 11.06403
(386.08, 7.13, 357.23) (365.93, 1.26, 362.13) (0.81, 2.16, 0.81) Human 11.03487
(386.08, 7.13, 357.23) (365.93, 1.26, 362.13) (0.81, 2.16, 0.81) Human 11.00967
(386.08, 7.13, 357.23) (365.93, 1.26, 362.13) (0.81, 2.16, 0.81) Human 10.98782
(386.08, 7.13, 357.23) (365.93, 1.26, 362.13) (0.81, 2.16, 0.81) Human 10.96886
(386.08, 7.13, 357.23) (365.93, 1.26, 362.13) (0.81, 2.16, 0.81) Human 10.95268
(386.08, 7.13, 357.23) (365.93, 1.26, 362.13) (0.81, 2.16, 0.81) Human 10.93928
(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.435412
(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.617325
(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.813001
(386.08, 7.13, 357.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.024033
